date,COUNT,Status Code,Branch Name,Month,Year
7/1/2016,190,UE,GE4,7,2016
7/1/2016,3,UE,GE4,7,2016
8/1/2016,33,UE,GE4,8,2016
8/1/2016,159,UE,GE4,8,2016
11/1/2016,47,UE,GE4,11,2016
11/1/2016,13,UE,GE4,11,2016
12/1/2016,85,UE,GE4,12,2016
12/1/2016,1,UE,GE4,12,2016
1/1/2016,20,UE,GE4,1,2016
1/1/2016,7,UE,GE4,1,2016
2/1/2016,4,UE,GE4,2,2016
3/1/2016,11,UE,GE4,3,2016
4/1/2016,53,UE,GE4,4,2016
5/1/2016,24,UE,GE4,5,2016
6/1/2016,88,UE,GE4,6,2016
6/1/2016,10,UE,GE4,6,2016
7/1/2016,93,UE,GE4,7,2016
7/1/2016,2,UE,GE4,7,2016
8/1/2016,54,UE,GE4,8,2016
8/1/2016,92,UE,GE4,8,2016
11/1/2016,26,UE,GE4,11,2016
11/1/2016,2,UE,GE4,11,2016
12/1/2016,54,UE,GE4,12,2016
1/1/2017,3807,C,GE4,1,2017
1/1/2017,390,C,GE4,1,2017
2/1/2017,3263,C,GE4,2,2017
2/1/2017,1,C,GE4,2,2017
3/1/2017,880,C,GE4,3,2017
4/1/2017,3221,C,GE4,4,2017
5/1/2017,3766,C,GE4,5,2017
5/1/2017,1,C,GE4,5,2017
6/1/2017,3541,C,GE4,6,2017
7/1/2017,3936,C,GE4,7,2017
8/1/2017,3476,C,GE4,8,2017
8/1/2017,158,C,GE4,8,2017
9/1/2017,3370,C,GE4,9,2017
10/1/2017,3924,C,GE4,10,2017
11/1/2017,3858,C,GE4,11,2017
12/1/2017,3419,C,GE4,12,2017
12/1/2017,41,C,GE4,12,2017
1/1/2017,1467,EE,GE4,1,2017
1/1/2017,116,EE,GE4,1,2017
2/1/2017,1459,EE,GE4,2,2017
2/1/2017,1,EE,GE4,2,2017
3/1/2017,181,EE,GE4,3,2017
4/1/2017,1411,EE,GE4,4,2017
5/1/2017,984,EE,GE4,5,2017
5/1/2017,1,EE,GE4,5,2017
6/1/2017,547,EE,GE4,6,2017
7/1/2017,1241,EE,GE4,7,2017
8/1/2017,745,EE,GE4,8,2017
8/1/2017,13,EE,GE4,8,2017
9/1/2017,454,EE,GE4,9,2017
10/1/2017,660,EE,GE4,10,2017
11/1/2017,417,EE,GE4,11,2017
12/1/2017,406,EE,GE4,12,2017
12/1/2017,6,EE,GE4,12,2017
1/1/2017,207,UE,GE4,1,2017
1/1/2017,96,UE,GE4,1,2017
2/1/2017,265,UE,GE4,2,2017
3/1/2017,11,UE,GE4,3,2017
4/1/2017,147,UE,GE4,4,2017
5/1/2017,57,UE,GE4,5,2017
6/1/2017,24,UE,GE4,6,2017
7/1/2017,29,UE,GE4,7,2017
8/1/2017,125,UE,GE4,8,2017
9/1/2017,110,UE,GE4,9,2017
10/1/2017,137,UE,GE4,10,2017
11/1/2017,56,UE,GE4,11,2017
12/1/2017,109,UE,GE4,12,2017
1/1/2017,61,UE,GE4,1,2017
1/1/2017,9,UE,GE4,1,2017
2/1/2017,51,UE,GE4,2,2017
3/1/2017,8,UE,GE4,3,2017
4/1/2017,38,UE,GE4,4,2017
5/1/2017,24,UE,GE4,5,2017
6/1/2017,25,UE,GE4,6,2017
7/1/2017,9,UE,GE4,7,2017
8/1/2017,9,UE,GE4,8,2017
9/1/2017,10,UE,GE4,9,2017
10/1/2017,27,UE,GE4,10,2017
11/1/2017,12,UE,GE4,11,2017
12/1/2017,50,UE,GE4,12,2017
1/1/2018,4113,C,GE4,1,2018
1/1/2018,554,C,GE4,1,2018
2/1/2018,3431,C,GE4,2,2018
2/1/2018,378,C,GE4,2,2018
